공포,인디,어드벤처	Neverending Nightmares	Infinitap Games	Infinitap Games	2014. 9. 26	-	http://store.steampowered.com/app/253330/	Windows,Mac,Linux	Steam	Experience the psychological horror as you continually awaken into hellish nightmares. Hide from horrifying apparitions and outrun your inner demons as you struggle to wake up.
인디,액션	Giana Sisters: Twisted Dreams	Black Forest Games	Black Forest Games	2012. 10. 22	-	http://store.steampowered.com/app/223220/	Windows	Steam	Giana Sisters: Twisted Dreams is a blistering hardcore platformer with contrasting worlds.
공포,인디,어드벤쳐	Silence of the Sleep	Jesse Makkonen	Jesse Makkonen	2014. 10. 1	-	http://store.steampowered.com/app/321870/	Windows	Steam	You play as a man called Jacob Reeves. A man who has lost his reason to live. He throws himself into a blackness to end his misery, but instead of it being the end he wakes up without a memory of his life before.
교육,인디,시뮬레이션,전략	Influent	Rob Howland	Three Flip Studios	2014. 3. 20	-	http://store.steampowered.com/app/274980/	Windows,Mac,Linux	Steam	Influent is a Language Learning Game focusing primarily on vocabulary acquisition and pronunciation while giving players the freedom to learn what they want without pencils or books!
인디,어드벤처,퍼즐	Shadow Puppeteer	Sarepta Studio	Sarepta Studio	2014. 9. 29	-	http://store.steampowered.com/app/316480/	Windows	Steam	Manipulate light and darkness in this co-op puzzle platformer Shadow Puppeteer combines platforming with puzzle-solving in a play of light and shadow. Having a truly Nordic yet original art style, the game tells the story of a boy and his shadow.
인디,어드벤처,호러,액션	Doorways: The Underworld	Saibot Studio	Saibot Studio	2014. 9. 17	-	http://store.steampowered.com/app/311250/	Windows,Mac,Linux	Steam	Doorways: The Underworld is an immersive horror adventure, featuring a complex story and deep atmosphere.
인디,액션,어드벤처	Angry Video Game Nerd Adventures	FreakZone Games	ScrewAttack Entertainment LLC	2013. 9. 20	-	http://store.steampowered.com/app/237740/?snr=1_4_4__recommended-spotlight	Windows	Steam	"The most rewarding game of 2013!" Influenced by retro classics Mega Man and Castlevania, Angry Video Game Nerd Adventures features the AVGN and friends as they blast their way through 10 levels of fun, fast paced 2D action based on the AVGN's adventures in his online series.
롤플레잉,인디,코미디,액션	UnEpic	Francisco Téllez de Meneses 	ninagamers	2014. 7. 25	-	http://store.steampowered.com/app/233980/	Windows	Steam	Daniel was just an average guy. He was a great videogame player, a big fan of sci-fi movies, and a novice RPG player. In the midst of an RPG, he was teleported to a castle. At first, Daniel believed that he was having a massive hallucination.
시뮬레이션,인디	LogicBots	Incandescent Games	Incandescent Games	2014. 9. 22	-	http://store.steampowered.com/app/290020/	Windows	Steam	Design, build and wire up your own unique robot to complete challenging logic puzzles. LogicBots is a puzzle game where robots are used to complete the various levels.
액션,어드벤처	Disney Epic Mickey 2: The Power of Two	Junction Point	Disney Interactive	2012. 11. 18	-	http://store.steampowered.com/app/245300/	Windows	Steam	Unleash the power of the brush in an all new co-op adventure. Join Mickey and Oswald in an epic battle to save the magical world of Wasteland and change it forever. Interact with your favorite characters like never before in the most heroic adventure yet.
